sweep,n,m,weight_decay,nu2,eta,seeds,mean_t1,std_t1,mean_t2,std_t2,mean_delay,median_delay,mean_t1_upper,mean_t2_lower,mean_limiting_population_loss,all_t1_bounds_pass,all_t2_bounds_pass
primary,100,1000,0.0001,1,1,6,214.83333333333334,10.759491933482114,22856.5,295.7882688681213,22641.666666666668,22666.0,1483.6203585004243,11982.02043886351,0.0008963452815864181,True,True
weight_decay,100,1000,1.9073486328125e-06,1,1,6,217.5,11.148990985734986,1198371.3333333333,15503.31337058845,1198153.8333333333,1198945.5,1483.6203585004243,628202.9531850872,0.0008963311784652576,True,True
weight_decay,100,1000,3.814697265625e-06,1,1,6,217.5,11.148990985734986,599185.3333333334,7752.00902132258,598967.8333333334,599368.5,1483.6203585004243,314101.4765925436,0.0008963311942752767,True,True
weight_decay,100,1000,7.62939453125e-06,1,1,6,217.16666666666666,11.214573851318054,299592.5,3876.028676364508,299375.3333333333,299580.5,1483.6203585004243,157050.7382962718,0.0008963312574369422,True,True
weight_decay,100,1000,1.52587890625e-05,1,1,6,217.0,11.027239001672177,149795.83333333334,1937.8911648146463,149578.83333333334,149686.0,1483.6203585004243,78525.3691481359,0.0008963315094580619,True,True
weight_decay,100,1000,3.0517578125e-05,1,1,6,217.0,11.027239001672177,74897.66666666667,968.9077699485472,74680.66666666667,74739.0,1483.6203585004243,39262.68457406795,0.0008963325125659829,True,True
weight_decay,100,1000,0.0001,1,1,6,214.83333333333334,10.759491933482114,22856.5,295.7882688681213,22641.666666666668,22666.0,1483.6203585004243,11982.02043886351,0.0008963452815864181,True,True
sample_size,25,1000,0.0001,1,1,6,47.666666666666664,3.0767948691238205,23376.166666666668,287.7758966047481,23328.5,23304.0,247.04582032089004,12378.271466950326,0.0009758164708764241,True,True
sample_size,50,1000,0.0001,1,1,6,103.5,3.0166206257996713,23184.333333333332,319.0552721185887,23080.833333333332,23054.0,583.2161391138125,12249.6799501025,0.0009510293770598074,True,True
sample_size,100,1000,0.0001,1,1,6,214.83333333333334,10.759491933482114,22856.5,295.7882688681213,22641.666666666668,22666.0,1483.6203585004243,11982.02043886351,0.0008963452815864181,True,True
sample_size,200,1000,0.0001,1,1,6,449.6666666666667,24.005554912700244,22259.5,347.6341467692724,21809.833333333332,21741.0,4454.959818611945,11398.93610393092,0.0007920915366584398,True,True
dimension,100,1000,0.0001,1,1,6,214.83333333333334,10.759491933482114,22856.5,295.7882688681213,22641.666666666668,22666.0,1483.6203585004243,11982.02043886351,0.0008963452815864181,True,True
dimension,100,2000,0.0001,1,1,6,197.33333333333334,5.046450898073483,22990.833333333332,231.97190921891095,22793.5,22829.0,1203.052953410814,12249.6799501025,0.0004732681281430264,True,True
dimension,100,3000,0.0001,1,1,6,199.0,8.099382692526634,23003.333333333332,196.17713084523044,22804.333333333332,22799.0,1132.7817785849174,12335.777686299873,0.00032154895222342235,True,True
initialization,100,1000,0.0001,0.001,1,6,-1.0,0.0,0.0,0.0,1.0,1.0,759.4471799294524,,0.0008963452815864181,True,True
initialization,100,1000,0.0001,1,1,6,214.83333333333334,10.759491933482114,22856.5,295.7882688681213,22641.666666666668,22666.0,1483.6203585004243,11982.02043886351,0.0008963452815864181,True,True
initialization,100,1000,0.0001,100,1,6,549.6666666666666,21.35103432311106,45881.166666666664,295.45383170076957,45331.5,45363.5,1966.4024775477385,34779.89264672535,0.0008963452815864181,True,True
initialization,100,1000,0.0001,10000,1,6,943.1666666666666,28.273073173368804,68906.0,295.62949785161834,67962.83333333333,67998.0,2449.184596595053,57577.7648545872,0.0008963452815864181,True,True
initialization,100,1000,0.0001,1000000,1,6,1367.3333333333333,31.95413379621902,91930.66666666667,295.9828823879291,90563.33333333333,90596.5,2931.966715642368,80375.63706244902,0.0008963452815864181,True,True
learning_rate,100,1000,0.0001,1,0.5,6,431.0,21.66102490649969,45713.666666666664,591.6122604093551,45282.666666666664,45331.0,2967.2407170008487,23964.04087772702,0.0008963452815864181,True,True
learning_rate,100,1000,0.0001,1,1,6,214.83333333333334,10.759491933482114,22856.5,295.7882688681213,22641.666666666668,22666.0,1483.6203585004243,11982.02043886351,0.0008963452815864181,True,True
learning_rate,100,1000,0.0001,1,2,6,106.66666666666667,5.501514942874069,11428.0,147.81474892580917,11321.333333333334,11333.5,741.8101792502122,5991.010219431755,0.0008963452815864181,True,True
