sweep,seed,n,m,weight_decay,nu2,eta,teacher_kind,teacher_norm,epsilon,c,t1,t2,grokking_delay,t2_over_t1_plus_one,initial_training_loss,initial_population_loss,training_loss_after_fit,population_loss_after_fit,population_loss_at_t2,population_loss_late,late_epoch,limiting_training_loss,limiting_population_loss,equation8_t1_upper,equation8_t2_lower,equation8_t1_pass,equation8_t2_pass,training_monotone_to_crossing,population_monotone_to_crossing,lambda_min_positive_phi_t_phi,lambda_max_phi_t_phi,gd_condition_rhs,gd_condition_pass,spectral_orthogonality_error,teacher_sparsity,theta_star_norm
primary,0,100,1000,0.0001,1,1,random,1,0.01,0.01,208,22698,22490,108.60287081339713,0.5538647184938577,0.9698206157782321,0.009930721099296875,0.8291502599938037,0.009999351572095642,0.0009044333756660793,226980,5.8403965843772595e-08,0.0009044333758088454,1534.9701493517568,11982.02043886351,True,True,True,True,0.460985602897949,1.7320854523039289,212.32071508068483,True,2.220446049250313e-15,,
primary,1,100,1000,0.0001,1,1,random,1,0.01,0.01,218,23144,22926,105.68036529680366,0.5475522004602564,1.0348165048144988,0.009888409724405604,0.8871349454315453,0.00999988539733632,0.0009091934970459166,231440,4.993922844768697e-08,0.0009091934969670356,1473.337196906702,11982.02043886351,True,True,True,True,0.4802696498906642,1.713015416161269,203.96938709606263,True,3.552713678800501e-15,,
primary,2,100,1000,0.0001,1,1,random,1,0.01,0.01,203,23045,22842,112.9656862745098,0.4941398313538378,1.0247969538614696,0.00988940514997773,0.8944701399072492,0.009998489159690932,0.000898304490784924,230450,5.6703481732271715e-08,0.0008983044909402106,1475.9602915067205,11982.02043886351,True,True,True,True,0.4794161088215512,1.6903864231947845,204.32510944681954,True,1.9984014443252818e-15,,
primary,3,100,1000,0.0001,1,1,random,1,0.01,0.01,225,23163,22938,102.49115044247787,0.5814877505108658,1.045323141698725,0.00989258683439463,0.8881305273665548,0.009998352804642901,0.0008926046058177676,231630,5.443066050873935e-08,0.0008926046057148334,1483.573788058165,11982.02043886351,True,True,True,True,0.47695581131521864,1.70402962906387,205.3574424543986,True,2.220446049250313e-15,,
primary,4,100,1000,0.0001,1,1,random,1,0.01,0.01,206,22597,22391,109.16425120772946,0.6279358053767029,0.9573775259888903,0.009891288844825015,0.809645121876931,0.009998880143517047,0.0008779188864032169,225970,6.549832440822532e-08,0.0008779188864558964,1481.2170087996312,11982.02043886351,True,True,True,True,0.47771470049666,1.717242672702639,205.0379041233858,True,3.1086244689504383e-15,,
primary,5,100,1000,0.0001,1,1,random,1,0.01,0.01,229,22492,22263,97.79130434782608,0.6155542994036665,0.9714525253379724,0.009981244514914396,0.8107134520213468,0.009999510499678463,0.0008956168330967432,224920,5.313656526299258e-08,0.0008956168336316869,1452.6637163795704,11982.02043886351,True,True,True,True,0.48710457330950774,1.7240474215331025,201.1649165370641,True,3.1086244689504383e-15,,
weight_decay,0,100,1000,1.9073486328125e-06,1,1,random,1,0.01,0.01,211,1190069,1189858,5613.5330188679245,0.5538647184938577,0.9698206157782321,0.009861333345512042,0.8637104017186299,0.009999972915348647,0.0009044170228493962,11900690,2.1835219577238567e-11,0.000904417022992212,1534.9701493517568,628202.9531850873,True,True,True,True,0.460985602897949,1.7320854523039289,216.83679714672195,True,2.220446049250313e-15,,
weight_decay,1,100,1000,1.9073486328125e-06,1,1,random,1,0.01,0.01,221,1213468,1213247,5466.072072072072,0.5475522004602564,1.0348165048144988,0.00986515929170029,0.925891544035161,0.009999999403546333,0.0009091810344395278,12134680,1.8615563025770224e-11,0.0009091810343606414,1473.337196906702,628202.9531850873,True,True,True,True,0.4802696498906642,1.713015416161269,208.13370503212715,True,3.552713678800501e-15,,
weight_decay,2,100,1000,1.9073486328125e-06,1,1,random,1,0.01,0.01,205,1208238,1208033,5865.233009708738,0.4941398313538378,1.0247969538614696,0.00996832677390743,0.9309026081878881,0.009999979025060281,0.0008982899812825239,12082380,2.1150027644141426e-11,0.0008982899814379377,1475.9602915067205,628202.9531850873,True,True,True,True,0.4794161088215512,1.6903864231947845,208.50411397739296,True,1.9984014443252818e-15,,
weight_decay,3,100,1000,1.9073486328125e-06,1,1,random,1,0.01,0.01,228,1214420,1214192,5303.144104803493,0.5814877505108658,1.045323141698725,0.009882983087883266,0.9281963881875646,0.009999991934830059,0.0008925917541949026,12144200,2.0263442324826178e-11,0.0008925917540918743,1483.573788058165,628202.9531850873,True,True,True,True,0.47695581131521864,1.70402962906387,209.57921795915112,True,2.220446049250313e-15,,
weight_decay,4,100,1000,1.9073486328125e-06,1,1,random,1,0.01,0.01,208,1184760,1184552,5668.708133971292,0.6279358053767029,0.9573775259888903,0.009964338367037478,0.8430858470328314,0.009999969122165862,0.0008779025184806765,11847600,2.4416357762367233e-11,0.000877902518533388,1481.2170087996312,628202.9531850873,True,True,True,True,0.47771470049666,1.717242672702639,209.2464169709298,True,3.1086244689504383e-15,,
weight_decay,5,100,1000,1.9073486328125e-06,1,1,random,1,0.01,0.01,232,1179273,1179041,5061.257510729613,0.6155542994036665,0.9714525253379724,0.00999324395046804,0.8480334114788015,0.009999972630482499,0.0008956047588404114,11792730,1.976453212166319e-11,0.000895604759375492,1452.6637163795704,628202.9531850873,True,True,True,True,0.48710457330950774,1.7240474215331025,205.21437067590483,True,3.1086244689504383e-15,,
weight_decay,0,100,1000,3.814697265625e-06,1,1,random,1,0.01,0.01,211,595034,594823,2806.764150943396,0.5538647184938577,0.9698206157782321,0.009853196880076192,0.8630124539684705,0.009999968224335205,0.0009044170412277695,5950340,8.72941374189149e-11,0.0009044170413705849,1534.9701493517568,314101.47659254365,True,True,True,True,0.460985602897949,1.7320854523039289,216.74715412858706,True,2.220446049250313e-15,,
weight_decay,1,100,1000,3.814697265625e-06,1,1,random,1,0.01,0.01,221,606734,606513,2733.036036036036,0.5475522004602564,1.0348165048144988,0.009856800463751347,0.9251089183629578,0.009999959479235342,0.0009091810484047869,6067340,7.442673505840898e-11,0.0009091810483259022,1473.337196906702,314101.47659254365,True,True,True,True,0.4802696498906642,1.713015416161269,208.0511121655899,True,3.552713678800501e-15,,
weight_decay,2,100,1000,3.814697265625e-06,1,1,random,1,0.01,0.01,205,604119,603914,2932.616504854369,0.4941398313538378,1.0247969538614696,0.009960537740068377,0.9301714598124113,0.00999993868678403,0.0008982899975539425,6041190,8.455872836874103e-11,0.0008982899977093529,1475.9602915067205,314101.47659254365,True,True,True,True,0.4794161088215512,1.6903864231947845,208.42122693199894,True,1.9984014443252818e-15,,
weight_decay,3,100,1000,3.814697265625e-06,1,1,random,1,0.01,0.01,228,607210,606982,2651.5720524017465,0.5814877505108658,1.045323141698725,0.009874389824435129,0.9273872085122277,0.00999995196990009,0.0008925917685871812,6072100,8.101716627661743e-11,0.0008925917684841552,1483.573788058165,314101.47659254365,True,True,True,True,0.47695581131521864,1.70402962906387,209.4954741053361,True,2.220446049250313e-15,,
weight_decay,4,100,1000,3.814697265625e-06,1,1,random,1,0.01,0.01,208,592379,592171,2834.349282296651,0.6279358053767029,0.9573775259888903,0.009956405142097528,0.8424145187220271,0.009999999478588002,0.0008779025368362396,5923790,9.761874833798415e-11,0.0008779025368889519,1481.2170087996312,314101.47659254365,True,True,True,True,0.47771470049666,1.717242672702639,209.16293881482073,True,3.1086244689504383e-15,,
weight_decay,5,100,1000,3.814697265625e-06,1,1,random,1,0.01,0.01,232,589636,589404,2530.6266094420603,0.6155542994036665,0.9714525253379724,0.009984274089922482,0.8472793720123266,0.009999968236276986,0.0008956047723376337,5896360,7.902380192197747e-11,0.000895604772872713,1452.6637163795704,314101.47659254365,True,True,True,True,0.48710457330950774,1.7240474215331025,205.13407804908326,True,3.1086244689504383e-15,,
weight_decay,0,100,1000,7.62939453125e-06,1,1,random,1,0.01,0.01,210,297517,297307,1410.0331753554503,0.5538647184938577,0.9698206157782321,0.009998380509706008,0.8616712216221517,0.009999889079513597,0.0009044171146413833,2975170,3.4880311249617427e-10,0.0009044171147841926,1534.9701493517568,157050.73829627183,True,True,True,True,0.460985602897949,1.7320854523039289,216.5680902658239,True,2.220446049250313e-15,,
weight_decay,1,100,1000,7.62939453125e-06,1,1,random,1,0.01,0.01,220,303367,303147,1372.7013574660634,0.5475522004602564,1.0348165048144988,0.009989929155775122,0.9235995298758861,0.009999879658698654,0.0009091811041976515,3033670,2.974231382800449e-10,0.0009091811041187703,1473.337196906702,157050.73829627183,True,True,True,True,0.4802696498906642,1.713015416161269,207.88612292655083,True,3.552713678800501e-15,,
weight_decay,2,100,1000,7.62939453125e-06,1,1,random,1,0.01,0.01,205,302059,301854,1466.3058252427184,0.4941398313538378,1.0247969538614696,0.009944978118084584,0.9287108821973005,0.009999928086247169,0.0008982900625578211,3020590,3.379042569634742e-10,0.0008982900627132306,1475.9602915067205,157050.73829627183,True,True,True,True,0.4794161088215512,1.6903864231947845,208.25565038563934,True,1.9984014443252818e-15,,
weight_decay,3,100,1000,7.62939453125e-06,1,1,random,1,0.01,0.01,228,303605,303377,1325.7860262008733,0.5814877505108658,1.045323141698725,0.009857225910228785,0.9257709629775837,0.009999872068979268,0.0008925918260876862,3036050,3.2377617747967423e-10,0.0008925918259846648,1483.573788058165,157050.73829627183,True,True,True,True,0.47695581131521864,1.70402962906387,209.32818701205264,True,2.220446049250313e-15,,
weight_decay,4,100,1000,7.62939453125e-06,1,1,random,1,0.01,0.01,208,296189,295981,1417.1722488038276,0.6279358053767029,0.9573775259888903,0.009940557792855194,0.8410734630957863,0.009999990495155884,0.0008779026101661819,2961890,3.9010198446576326e-10,0.0008779026102188938,1481.2170087996312,157050.73829627183,True,True,True,True,0.47771470049666,1.717242672702639,208.99618216327673,True,3.1086244689504383e-15,,
weight_decay,5,100,1000,7.62939453125e-06,1,1,random,1,0.01,0.01,232,294818,294586,1265.3133047210301,0.6155542994036665,0.9714525253379724,0.009966358506341526,0.8457732998444789,0.009999888750554024,0.0008956048262668447,2948180,3.158208879782083e-10,0.000895604826801901,1452.6637163795704,157050.73829627183,True,True,True,True,0.48710457330950774,1.7240474215331025,204.9736811408757,True,3.1086244689504383e-15,,
weight_decay,0,100,1000,1.52587890625e-05,1,1,random,1,0.01,0.01,210,148758,148548,705.0142180094787,0.5538647184938577,0.9698206157782321,0.009965579989832038,0.8589024782570173,0.009999870534110732,0.0009044174074991228,1487580,1.3922327689785595e-09,0.0009044174076419307,1534.9701493517568,78525.36914813591,True,True,True,True,0.460985602897949,1.7320854523039289,216.2108486689079,True,2.220446049250313e-15,,
weight_decay,1,100,1000,1.52587890625e-05,1,1,random,1,0.01,0.01,220,151683,151463,686.3484162895927,0.5475522004602564,1.0348165048144988,0.00995626465563907,0.9204947462058377,0.00999985817225194,0.0009091813268252023,1516830,1.1874274738600662e-09,0.0009091813267463222,1473.337196906702,78525.36914813591,True,True,True,True,0.4802696498906642,1.713015416161269,207.5569282465298,True,3.552713678800501e-15,,
weight_decay,2,100,1000,1.52587890625e-05,1,1,random,1,0.01,0.01,205,151029,150824,733.1504854368932,0.4941398313538378,1.0247969538614696,0.00991393252146682,0.9257965909737343,0.00999990701413614,0.0008982903219208934,1510290,1.3489781768434966e-09,0.0008982903220763011,1475.9602915067205,78525.36914813591,True,True,True,True,0.4794161088215512,1.6903864231947845,207.92528527701975,True,1.9984014443252818e-15,,
weight_decay,3,100,1000,1.52587890625e-05,1,1,random,1,0.01,0.01,227,151802,151575,665.7982456140351,0.5814877505108658,1.045323141698725,0.009971957265072712,0.9226147564330626,0.009999850458722887,0.0008925920555423073,1518020,1.2927701795712943e-09,0.000892592055439287,1483.573788058165,78525.36914813591,True,True,True,True,0.47695581131521864,1.70402962906387,208.99441304371393,True,2.220446049250313e-15,,
weight_decay,4,100,1000,1.52587890625e-05,1,1,random,1,0.01,0.01,208,148094,147886,708.5837320574162,0.6279358053767029,0.9573775259888903,0.009908939354621093,0.8383977439808418,0.009999972673837869,0.000877902902749548,1480940,1.5574310916270855e-09,0.0008779029028022596,1481.2170087996312,78525.36914813591,True,True,True,True,0.47771470049666,1.717242672702639,208.66346527790046,True,3.1086244689504383e-15,,
weight_decay,5,100,1000,1.52587890625e-05,1,1,random,1,0.01,0.01,232,147409,147177,632.6566523605151,0.6155542994036665,0.9714525253379724,0.009930623688630104,0.8427691660057159,0.009999729887342131,0.0008956050415072593,1474090,1.2610936679325763e-09,0.0008956050420422697,1452.6637163795704,78525.36914813591,True,True,True,True,0.48710457330950774,1.7240474215331025,204.65363864764691,True,3.1086244689504383e-15,,
weight_decay,0,100,1000,3.0517578125e-05,1,1,random,1,0.01,0.01,210,74379,74169,352.50710900473933,0.5538647184938577,0.9698206157782321,0.009900299528742065,0.8533916095270253,0.00999955482761136,0.0009044185725944449,743790,5.545217971126954e-09,0.000904418572737228,1534.9701493517568,39262.68457406796,True,True,True,True,0.460985602897949,1.7320854523039289,215.4998895927223,True,2.220446049250313e-15,,
weight_decay,1,100,1000,3.0517578125e-05,1,1,random,1,0.01,0.01,220,75841,75621,343.17194570135746,0.5475522004602564,1.0348165048144988,0.009889277421304774,0.9143164235895846,0.009999815638726024,0.0009091822130076503,758410,4.731674194879387e-09,0.0009091822129287719,1473.337196906702,39262.68457406796,True,True,True,True,0.4802696498906642,1.713015416161269,206.90165675718592,True,3.552713678800501e-15,,
weight_decay,2,100,1000,3.0517578125e-05,1,1,random,1,0.01,0.01,205,75514,75309,366.5728155339806,0.4941398313538378,1.0247969538614696,0.00985213483739975,0.9199953645523891,0.009999865381879284,0.000898291354182697,755140,5.374903764943526e-09,0.0008982913543381011,1475.9602915067205,39262.68457406796,True,True,True,True,0.4794161088215512,1.6903864231947845,207.26768955133204,True,1.9984014443252818e-15,,
weight_decay,3,100,1000,3.0517578125e-05,1,1,random,1,0.01,0.01,227,75901,75674,332.89912280701753,0.5814877505108658,1.045323141698725,0.009903103968931945,0.9162277097633185,0.009999531540045459,0.0008925929690052502,759010,5.152489954079189e-09,0.0008925929689022482,1483.573788058165,39262.68457406796,True,True,True,True,0.47695581131521864,1.70402962906387,208.33004817345363,True,2.220446049250313e-15,,
weight_decay,4,100,1000,3.0517578125e-05,1,1,random,1,0.01,0.01,208,74047,73839,354.2918660287081,0.6279358053767029,0.9573775259888903,0.00984600638415568,0.8330717798303603,0.009999658679610928,0.0008779040672253591,740470,6.206024556953727e-09,0.0008779040672780615,1481.2170087996312,39262.68457406796,True,True,True,True,0.47771470049666,1.717242672702639,208.0011994840421,True,3.1086244689504383e-15,,
weight_decay,5,100,1000,3.0517578125e-05,1,1,random,1,0.01,0.01,232,73704,73472,316.3261802575107,0.6155542994036665,0.9714525253379724,0.009859537851625876,0.8367928082461095,0.009999695479432507,0.000895605898676486,737040,5.0269300217177495e-09,0.0008956058992114863,1452.6637163795704,39262.68457406796,True,True,True,True,0.48710457330950774,1.7240474215331025,204.01654258161238,True,3.1086244689504383e-15,,
weight_decay,0,100,1000,0.0001,1,1,random,1,0.01,0.01,208,22698,22490,108.60287081339713,0.5538647184938577,0.9698206157782321,0.009930721099296875,0.8291502599938037,0.009999351572095642,0.0009044333756660793,226980,5.8403965843772595e-08,0.0009044333758088454,1534.9701493517568,11982.02043886351,True,True,True,True,0.460985602897949,1.7320854523039289,212.32071508068483,True,2.220446049250313e-15,,
weight_decay,1,100,1000,0.0001,1,1,random,1,0.01,0.01,218,23144,22926,105.68036529680366,0.5475522004602564,1.0348165048144988,0.009888409724405604,0.8871349454315453,0.00999988539733632,0.0009091934970459166,231440,4.993922844768697e-08,0.0009091934969670356,1473.337196906702,11982.02043886351,True,True,True,True,0.4802696498906642,1.713015416161269,203.96938709606263,True,3.552713678800501e-15,,
weight_decay,2,100,1000,0.0001,1,1,random,1,0.01,0.01,203,23045,22842,112.9656862745098,0.4941398313538378,1.0247969538614696,0.00988940514997773,0.8944701399072492,0.009998489159690932,0.000898304490784924,230450,5.6703481732271715e-08,0.0008983044909402106,1475.9602915067205,11982.02043886351,True,True,True,True,0.4794161088215512,1.6903864231947845,204.32510944681954,True,1.9984014443252818e-15,,
weight_decay,3,100,1000,0.0001,1,1,random,1,0.01,0.01,225,23163,22938,102.49115044247787,0.5814877505108658,1.045323141698725,0.00989258683439463,0.8881305273665548,0.009998352804642901,0.0008926046058177676,231630,5.443066050873935e-08,0.0008926046057148334,1483.573788058165,11982.02043886351,True,True,True,True,0.47695581131521864,1.70402962906387,205.3574424543986,True,2.220446049250313e-15,,
weight_decay,4,100,1000,0.0001,1,1,random,1,0.01,0.01,206,22597,22391,109.16425120772946,0.6279358053767029,0.9573775259888903,0.009891288844825015,0.809645121876931,0.009998880143517047,0.0008779188864032169,225970,6.549832440822532e-08,0.0008779188864558964,1481.2170087996312,11982.02043886351,True,True,True,True,0.47771470049666,1.717242672702639,205.0379041233858,True,3.1086244689504383e-15,,
