figure,label,seed,n,m,d,weight_decay,nu2,eta,t1,t2,grokking_delay,population_loss_after_fit,population_loss_late,limiting_train_loss,limiting_pop_loss,initial_train_loss,initial_pop_loss,final_train_loss,final_pop_loss
fig3_random_features,default,0,100,2000,100,1.0000000000000001e-05,1,1,444,155490,155046,0.20044829801717295,0.0016788055089709513,2.4275012751757724e-10,0.0016788056456745934,,,,
fig3_random_features,default,1,100,2000,100,1.0000000000000001e-05,1,1,443,157689,157246,0.20952594765905788,0.001246460564172168,2.7928309717639504e-10,0.0012464599709573687,,,,
fig3_random_features,default,2,100,2000,100,1.0000000000000001e-05,1,1,497,185879,185382,0.2690888899510143,0.0023373384907309372,2.7325541102340426e-10,0.002337338402963949,,,,
fig3_random_features,default,3,100,2000,100,1.0000000000000001e-05,1,1,543,153010,152467,0.22628757247712775,0.0001683347988350651,2.2914650287313366e-10,0.0001683348112107273,,,,
fig3_random_features,default,4,100,2000,100,1.0000000000000001e-05,1,1,416,153467,153051,0.22134997837951392,0.0011940944366090724,2.0999116038160586e-10,0.0011940948304524043,,,,
fig3_random_features,default,5,100,2000,100,1.0000000000000001e-05,1,1,436,155407,154971,0.17836285158185256,0.001877455182800891,2.161616124836102e-10,0.0018774548826778826,,,,
fig3_random_features,lambda_small,0,100,2000,100,9.9999999999999995e-07,1,1,446,1554898,1554452,0.2019807144526518,0.0016788795090998477,2.453349002750683e-12,0.0016788796459469445,,,,
fig3_random_features,lambda_small,1,100,2000,100,9.9999999999999995e-07,1,1,446,1576895,1576449,0.21103813148108133,0.00124654185066485,2.817561921717306e-12,0.0012465412574985144,,,,
fig3_random_features,lambda_small,2,100,2000,100,9.9999999999999995e-07,1,1,500,1858802,1858302,0.27133966612498844,0.0023374279386443385,2.7558905968159785e-12,0.002337427850879784,,,,
fig3_random_features,lambda_small,3,100,2000,100,9.9999999999999995e-07,1,1,546,1530101,1529555,0.22837399857460663,0.00016825574584577449,2.312455082553424e-12,0.00016825575807684042,,,,
fig3_random_features,lambda_small,4,100,2000,100,9.9999999999999995e-07,1,1,417,1534674,1534257,0.22294805368018766,0.0011941985611512657,2.1229361910437876e-12,0.00119419895505536,,,,
fig3_random_features,lambda_small,5,100,2000,100,9.9999999999999995e-07,1,1,438,1554096,1553658,0.1797202049489562,0.001877860040210076,2.181493041646526e-12,0.0018778597401361609,,,,
fig3_random_features,lambda_large,0,100,2000,100,0.0001,1,1,422,15549,15127,0.18666046723616378,0.0016780282851852164,2.1984341627026555e-08,0.0016780284205220077,,,,
fig3_random_features,lambda_large,1,100,2000,100,0.0001,1,1,422,15769,15347,0.19542219277557743,0.0012456598010411285,2.570688311535344e-08,0.0012456592077864513,,,,
